Village,Town
Baltic,Sprague
Canton Valley,Canton
Centerbrook,Essex
Collinsville,Canton
Coventry Lake,Coventry
Crystal Lake,Ellington
East Litchfield Village,Litchfield
Essex Village,Essex
Gales Ferry,Ledyard
Gaylordsville,New Milford
Georgetown,Redding
Goshen Historic District,Goshen
Groton Long Point,Groton
Hidden Lake,Haddam
Higganum,Haddam
Hydeville,Stafford
Ivoryton,Essex
Lake Pocotopaug,East Hampton
Lakeville,Salisbury
Leesville,East Haddam
Lime Rock,Salisbury
Little Haddam Historic District,East Haddam
Lords Point,Stonington
Mansfield Center,Mansfield
Millington,East Haddam
Moodus,East Haddam
Moosup,Plainfield
Mystic River Historic District,Groton
Mystic,Groton
Neufa,Woodbury
New Preston,Washington
Niantic,East Lyme
Nichols Farms Historic District,Trumbull
Nichols,Trumbull
Noank,Groton
North Granby,Granby
North Grosvenor Dale,Thompson
Northfield,Litchfield
Old Mystic,Groton
Pawcatuck,Stonington
Plainfield Village,Plainfield
Poquetanuck,Preston
Poquonock Bridge,Groton
Preston City,Preston
Quaker Hill,Waterford
Quinebaug,Thompson
Rockfall,Middlefield
Rockville,Vernon
Sandy Hook,Newtown
South Coventry Historic District,Coventry
South Kent,Kent
South Willington Historic District,Willington
South Windham,Windham
South Woodstock,Woodstock
Stafford Hollow,Stafford
Storrs,Mansfield
Taftville,Norwich
Terryville,Plymouth
Weatogue,Simsbury
Yalesville,Wallingford
Vernon Rockville,Vernon
