Town,numRaces,isElusive
Andover,2,0
Ansonia,1,1
Ashford,3,0
Avon,4,0
Barkhamsted,4,0
Beacon Falls,2,0
Berlin,2,0
Bethany,1,1
Bethel,7,0
Bethlehem,3,0
Bloomfield,3,0
Bolton,2,0
Bozrah,1,1
Branford,4,0
Bridgeport,8,0
Bridgewater,3,0
Bristol,18,0
Brookfield,6,0
Brooklyn,1,1
Burlington,7,0
Canaan,1,1
Canterbury,1,1
Canton,2,0
Chaplin,2,0
Cheshire,6,0
Chester,9,0
Clinton,1,1
Colchester,6,0
Colebrook,2,0
Columbia,7,0
Cornwall,1,1
Coventry,1,1
Cromwell,2,0
Danbury,9,0
Darien,5,0
Deep River,2,0
Derby,2,0
Durham,2,0
East Granby,1,1
East Haddam,2,0
East Hampton,5,0
East Hartford,7,0
East Haven,1,1
East Lyme,7,0
East Windsor,3,0
Eastford,1,1
Easton,2,0
Ellington,3,0
Enfield,7,0
Essex,3,0
Fairfield,15,0
Farmington,21,0
Franklin,2,0
Glastonbury,7,0
Goshen,2,0
Granby,10,0
Greenwich,12,0
Griswold,3,0
Groton,5,0
Guilford,8,0
Haddam,3,0
Hamden,10,0
Hampton,2,0
Hartford,16,0
Hartland,2,0
Harwinton,3,0
Hebron,3,0
Kent,3,0
Killingly,20,0
Killingworth,2,0
Lebanon,2,0
Ledyard,2,0
Lisbon,2,0
Litchfield,20,0
Lyme,0,1
Madison,3,0
Manchester,16,0
Mansfield,12,0
Marlborough,8,0
Meriden,20,0
Middlebury,6,0
Middlefield,3,0
Middletown,4,0
Milford,24,0
Monroe,5,0
Montville,4,0
Morris,2,0
Naugatuck,4,0
New Britain,5,0
New Canaan,18,0
New Fairfield,1,1
New Hartford,2,0
New Haven,14,0
New London,7,0
New Milford,5,0
Newington,9,0
Newtown,7,0
Norfolk,4,0
North Branford,2,0
North Canaan,1,1
North Haven,3,0
North Stonington,4,0
Norwalk,19,0
Norwich,10,0
Old Lyme,2,0
Old Saybrook,5,0
Orange,6,0
Oxford,2,0
Plainfield,4,0
Plainville,1,1
Plymouth,3,0
Pomfret,4,0
Portland,2,0
Preston,2,0
Prospect,2,0
Putnam,2,0
Redding,6,0
Ridgefield,8,0
Rocky Hill,7,0
Roxbury,42,0
Salem,1,1
Salisbury,3,0
Scotland,1,1
Seymour,2,0
Sharon,3,0
Shelton,7,0
Sherman,2,0
Simsbury,8,0
Somers,9,0
South Windsor,5,0
Southbury,7,0
Southington,8,0
Sprague,2,0
Stafford,1,1
Stamford,11,0
Sterling,1,1
Stonington,13,0
Stratford,17,0
Suffield,3,0
Thomaston,2,0
Thompson,3,0
Tolland,2,0
Torrington,3,0
Trumbull,8,0
Union,2,0
Vernon,6,0
Voluntown,1,1
Wallingford,4,0
Warren,2,0
Washington,7,0
Waterbury,8,0
Waterford,11,0
Watertown,11,0
West Hartford,10,0
West Haven,3,0
Westbrook,1,1
Weston,2,0
Westport,17,0
Wethersfield,4,0
Willington,1,1
Wilton,4,0
Winchester,4,0
Windham,6,0
Windsor,4,0
Windsor Locks,1,1
Wolcott,3,0
Woodbridge,3,0
Woodbury,4,0
Woodstock,4,0
