County,Town,Date/Time,Distance,Name,Cost,DateTime,Month,Day,Weekday
NL,Colchester,"Sun, 01/01 10:00",5K,Colchester Youth Services 5K Resolution Run,$20; Students - $15,2017-01-01T10:00:00Z,1,1,7
H,Rocky Hill,"Sun, 01/01 10:00",8M,Joe Vailonis Memorial 8 Miler,TBD,2017-01-01T10:00:00Z,1,1,7
NH,Orange,"Sun, 01/01 10:30",5K,Chilly Chili Run,"$22 through 12/17/16, $27 afterwards; Ages 12 & under - $12 through 12/17/16, $15 afterwards",2017-01-01T10:30:00Z,1,1,7
F,Brookfield,"Sun, 01/01 11:00",4M,Run for Sight,"$20 through 12/9, $25 afterwards",2017-01-01T11:00:00Z,1,1,7
NH,Guilford,"Sun, 01/01 11:00",5K,Frosty 5K,"$25 through 12/1/15, $30 afterwards; Group discounts available",2017-01-01T11:00:00Z,1,1,7
L,Litchfield,"Sun, 01/01 11:00",5M,Milton Resolution Road Race,"$15, $20 raceday",2017-01-01T11:00:00Z,1,1,7
L,Norfolk,"Sat, 01/07 11:00",10M,Norfolk Pub 10-Mile Road Race,$15 Moved from 12/17/16,2017-01-07T11:00:00Z,1,7,6
NH,Beacon Falls,"Sat, 01/07 14:00",3.2M,Shiver & Quiver Run,"$20, $10 students, $5 kids",2017-01-07T14:00:00Z,1,7,6
NH,Beacon Falls,"Sat, 01/07 14:00",1M,Shiver & Quiver Run,"$20, $10 students, $5 kids",2017-01-07T14:00:00Z,1,7,6
F,Norwalk,"Sun, 01/08 10:00",10K,Boston Buildup,Postponed to 1/15,2017-01-08T10:00:00Z,1,8,7
H,Enfield,"Sun, 01/08 10:00",5K,No Frill Flannel Run,.$20,2017-01-08T10:00:00Z,1,8,7
H,East Hartford,"Sun, 01/08 13:30",5K,Officer Brian Aselton Snow Dash 5K,"$20 through 12/16, $25 after",2017-01-08T13:30:00Z,1,8,7
NL,Stonington,"Sat, 01/14 08:00",5M,Frostbite 5-Miler,$30; Ages 12-19 - $25,2017-01-14T08:00:00Z,1,14,6
NH,Hamden,"Sun, 01/15 08:30",5K,Save the Parade 5K,"$20, $25 raceday POSTPONED FROM 12/18/16",2017-01-15T08:30:00Z,1,15,7
F,Norwalk,"Sun, 01/15 10:00",10K,Boston Buildup,"$20 (or $18 online) for first race, $17 (or $15 online) for subsequent buildup races;
 $47 for series ($45 online) prior to firs race, $50 afterwards Postponed from 1/8",2017-01-15T10:00:00Z,1,15,7
L,Barkhamsted,"Sun, 01/15 10:00",8.55M,People's Forest Run,.$2,2017-01-15T10:00:00Z,1,15,7
L,Barkhamsted,"Sun, 01/15 10:00",17.1M,People's Forest Run,.$2,2017-01-15T10:00:00Z,1,15,7
NH,Meriden,"Sun, 01/15 10:30",5K,Tradition Run,"Free
 
 [This race is NOT timed. HOWEVER, a special dispensation has been made for this race. Therefore, it is an eligible race for 169.]",2017-01-15T10:30:00Z,1,15,7
F,Ridgefield,"Sun, 01/22 09:00",15K,Boston Buildup,"$20 (or $18 online) for first race, $17 (or $15 online) for subsequent buildup races;
 $47 for series ($45 online) prior to firs race, $50 afterwards",2017-01-22T09:00:00Z,1,22,7
NH,Milford,"Sun, 01/29 09:30",5M,Winter Wonderland 5-Miler,"$20, $25 raceday",2017-01-29T09:30:00Z,1,29,7
W,Pomfret,"Sat, 02/04 13:00",5K,February Freeze,"$25, $75 for family up to 5 members",2017-02-04T13:00:00Z,2,4,6
NH,New Haven,"Sun, 02/05 10:00",5K,IRIS Run for Refugees,"$25 through 12/1, $30 through 12/31, $32 through 2/4, $35 raceday, $10 off for 18 and under",2017-02-05T10:00:00Z,2,5,7
NH,Seymour,"Sun, 02/05 11:00",1M,Mr. Seymour Butts Run,"$20, $10 students, $5 kids or Donations accepted, see flyer",2017-02-05T11:00:00Z,2,5,7
NH,Seymour,"Sun, 02/05 11:30",1M,Mr. Seymour Butts Run,"$20, $10 students, $5 kids or Donations accepted, see flyer",2017-02-05T11:30:00Z,2,5,7
NH,Seymour,"Sun, 02/05 12:00",1M,Mr. Seymour Butts Run,"$20, $10 students, $5 kids or Donations accepted, see flyer",2017-02-05T12:00:00Z,2,5,7
NH,Seymour,"Sun, 02/05 12:30",5K,Mr. Seymour Butts Run,"$20, $10 students, $5 kids or Donations accepted, see flyer",2017-02-05T12:30:00Z,2,5,7
W,Windham,"Sat, 02/11 10:00",2M,Cupid Made Me Do It,"$25 through 2/10, $30 raceday",2017-02-11T10:00:00Z,2,11,6
L,Litchfield,"Sat, 02/11 11:00",5M,Sweetheart Run & Walk,"$25 through 2/7 Ages 11-79, $10 for 10 and under, Free for 80 and over,",2017-02-11T11:00:00Z,2,11,6
H,Hartford,"Sun, 02/12 10:00",4M,Cedar Hill Cemetary 4M,$2 - HTC Winter Series Event,2017-02-12T10:00:00Z,2,12,7
F,Stratford,"Sat, 02/18 10:00",3M,Second Chance for Romance Run,"$22, $25 raceday, $12 for students 18 and under, $15 raceday",2017-02-18T10:00:00Z,2,18,6
F,Danbury,"Sun, 02/19 10:00",5K,Big Chili,.$25,2017-02-19T10:00:00Z,2,19,7
F,Fairfield,"Sun, 02/19 09:00",20K,Boston Buildup,"$20 (or $18 online) for first race, $17 (or $15 online) for subsequent buildup races;
 $47 for series ($45 online) prior to firs race, $50 afterwards POSTPONED from 2/12",2017-02-19T09:00:00Z,2,19,7
NL,Colchester,"Sat, 02/25 10:00",13.1M,Colchester Half Marathon,"$14, $20 raceday",2017-02-25T10:00:00Z,2,25,6
L,Washington,"Sun, 02/26 11:00",7.6M,Polar Bear Run,"$22 (plus fee online), $25 mail-in, $30 day of",2017-02-26T11:00:00Z,2,26,7
NL,Stonington,"Sat, 03/04 08:00",5K,Kelley's Pace Hare Hop 5K,"$25 through 2/24, $30 through 3/3, ?? Raceday; Ages 5-18 - $10 off",2017-03-04T08:00:00Z,3,4,6
L,Roxbury,"Sat, 03/04 08:30",2.4M,Roxbury Road Race Series,"$5, or $50 membership for the year",2017-03-04T08:30:00Z,3,4,6
NH,New Haven,"Sun, 03/05 09:00",5K,PLR ShamRock & Roll,"$28 through 12/31, $30 through 1/31, $32 through 3/4, $35 raceday",2017-03-05T09:00:00Z,3,5,7
F,Norwalk,"Sun, 03/05 09:30",25K,Boston Buildup,"$20 (or $18 online) for first race, $17 (or $15 online) for subsequent buildup races;
 $47 for series ($45 online) prior to firs race, $50 afterwards",2017-03-05T09:30:00Z,3,5,7
L,Kent,"Sun, 03/05 11:00",1M,Cheese Doodle Dash,"SOLD OUT -$20, $10 students, $5 kids or Donations accepted, see flyer",2017-03-05T11:00:00Z,3,5,7
L,Kent,"Sun, 03/05 11:00",3M,Cheese Doodle Dash,"SOLD OUT -$20, $10 students, $5 kids or Donations accepted, see flyer",2017-03-05T11:00:00Z,3,5,7
NL,Norwich,"Sun, 03/05 12:00",5K,Rose City Shenanigans 5K,"$25 through 3/3, $30 raceday",2017-03-05T12:00:00Z,3,5,7
L,Roxbury,"Sat, 03/11 08:30",3.52M,Roxbury Road Race Series,"$5, or $50 membership for the year",2017-03-11T08:30:00Z,3,11,6
NH,Derby,"Sat, 03/11 08:30",1M,Dashin' Thru Derby,"$20, $15 for 17 and under",2017-03-11T08:30:00Z,3,11,6
NH,Derby,"Sat, 03/11 09:30",1M,Dashin' Thru Derby,"$20, $15 for 17 and under",2017-03-11T09:30:00Z,3,11,6
