County,Town,Date/Time,Distance,Name,Cost,Results,DateTime,Month,Day,Weekday,Year
NL,Colchester,"Mon, 01/01 10:00",5K,Resolution Run,"$20, $15 for students",Results,2018-01-01T10:00:00Z,1,1,1,2018
NH,Orange,"Mon, 01/01 10:30",5K,Chilly Chili Run,"$22 through 12/16, $27 afterwards; Ages 12 & under - $12, $15 raceday",Results,2018-01-01T10:30:00Z,1,1,1,2018
NH,Guilford,"Mon, 01/01 11:00",5K,Frosty 5K,"$25, $30 raceday",Results,2018-01-01T11:00:00Z,1,1,1,2018
F,Brookfield,"Mon, 01/01 11:00",4M,Brookfield Lions Run for Sight,"$20 through 12/15, $25 afterwards",Results,2018-01-01T11:00:00Z,1,1,1,2018
L,Litchfield,"Mon, 01/01 11:00",5M,Milton Resolution Run,"$15, $20 raceday",Results,2018-01-01T11:00:00Z,1,1,1,2018
NL,Stonington,"Sat, 01/13 08:00",5M,Kelley's Pace Frostbite 5M,"$30, $20 students 12-19",Results,2018-01-13T08:00:00Z,1,13,6,2018
NH,Hamden,"Sun, 01/14 09:00",5K,Save the Parade,"$27, $32 race day, $15 police/fire/veterans",Results,2018-01-14T09:00:00Z,1,14,7,2018
F,Norwalk,"Sun, 01/14 10:00",10K,Boston Build-Up Series,"$47 pre, $50 post ($45 online) for the four race Series.  $20 ($18 online) for first individual race (subsequent races $17/$15) - RESCHEDULED from 1/7",Results,2018-01-14T10:00:00Z,1,14,7,2018
L,Barkhamsted,"Sun, 01/14 10:00",17.1M,People's Forest 8.5/17 Miler,.$2,Results,2018-01-14T10:00:00Z,1,14,7,2018
L,Barkhamsted,"Sun, 01/14 10:00",8.55M,People's Forest 8.5/17 Miler,.$2,Results,2018-01-14T10:00:00Z,1,14,7,2018
NH,Meriden,"Sun, 01/14 10:30",5K or 10K,Tradition Run,"Free.  Walkers at 10, runners at 10:30. 5K if you only go up...10K if you also run down!",NA,2018-01-14T10:30:00Z,1,14,7,2018
F,Ridgefield,"Sun, 01/21 09:00",15K,Boston Build-Up Series,"$47 pre, $50 post ($45 online) for the four race Series.  $20 ($18 online) for first individual race (subsequent races $17/$15)",Results,2018-01-21T09:00:00Z,1,21,7,2018
NH,Beacon Falls,"Sat, 01/27 12:00",5K,Shiver & Quiver Run,"$20, $10 students, $5 kids",Results,2018-01-27T12:00:00Z,1,27,6,2018
NH,Beacon Falls,"Sat, 01/27 12:00",1M,Shiver & Quiver Run,"$20, $10 students, $5 kids",Results,2018-01-27T12:00:00Z,1,27,6,2018
NH,Beacon Falls,"Sat, 01/27 12:20",1M,Shiver & Quiver Run,"$20, $10 students, $5 kids",Results,2018-01-27T12:20:00Z,1,27,6,2018
NH,Milford,"Sun, 01/28 09:30",5M,Winter Wonderland,.$20,Results,2018-01-28T09:30:00Z,1,28,7,2018
H,East Hartford,"Sun, 01/28 13:30",5K,Aselton Snow Dash,"$20 thru 12/26, $25 after RESCHEDULED from 1/7",Results,2018-01-28T13:30:00Z,1,28,7,2018
